,School_ID,num_crimes_16
0,400009,1541
1,400010,4364
2,400011,8325
3,400013,3584
4,400017,3533
5,400021,7521
6,400022,5163
7,400023,5177
8,400024,5546
9,400025,4684
10,400026,2646
11,400027,3116
12,400028,3639
13,400029,5993
14,400030,3211
15,400031,1345
16,400032,4427
17,400033,2861
18,400034,709
19,400035,3810
20,400036,6724
21,400038,14913
22,400039,5848
23,400040,9822
24,400043,5381
25,400044,8975
26,400045,4593
27,400046,10570
28,400047,7263
29,400048,5594
30,400049,6249
31,400050,1702
32,400051,5029
33,400052,6323
34,400053,5084
35,400054,5359
36,400055,5265
37,400056,7285
38,400057,3911
39,400058,9423
40,400059,7838
41,400060,2931
42,400061,6937
43,400062,7028
44,400064,3790
45,400066,4354
46,400068,5690
47,400069,6841
48,400071,6619
49,400072,6540
50,400075,3496
51,400076,3779
52,400077,5341
53,400078,4841
54,400079,1562
55,400080,1778
56,400081,3141
57,400082,3376
58,400083,4124
59,400084,3378
60,400085,1712
61,400086,5800
62,400087,2997
63,400089,3113
64,400091,3065
65,400092,1183
66,400094,4824
67,400096,5369
68,400097,5050
69,400098,13979
70,400101,2347
71,400102,2988
72,400104,3025
73,400105,3596
74,400106,5382
75,400107,2699
76,400111,4996
77,400112,2866
78,400113,5461
79,400114,5207
80,400115,5139
81,400116,6860
82,400117,4614
83,400118,10921
84,400119,9335
85,400120,2160
86,400121,2898
87,400123,10168
88,400124,3623
89,400125,3479
90,400126,6803
91,400127,7787
92,400128,10145
93,400129,6644
94,400130,6728
95,400131,5296
96,400133,14135
97,400134,3307
98,400135,5823
99,400136,1155
100,400137,3972
101,400139,4822
102,400141,4396
103,400142,5046
104,400143,6301
105,400144,6674
106,400145,4100
107,400146,8301
108,400147,2508
109,400148,2774
110,400149,2726
111,400150,3271
112,400151,6388
113,400153,2984
114,400156,2149
115,400157,3620
116,400159,4017
117,400161,3281
118,400162,3259
119,400163,4543
120,400164,2923
121,400165,6406
122,400167,3817
123,400168,5761
124,400169,3618
125,400170,5605
126,400171,2566
127,400172,3882
128,400173,2948
129,400175,4932
130,400176,4305
131,400178,10140
132,400179,2191
133,400180,7669
134,609674,3377
135,609676,3059
136,609678,10552
137,609679,4383
138,609680,9921
139,609682,5115
140,609691,5366
141,609692,6067
142,609693,6849
143,609694,2773
144,609695,2532
145,609698,1721
146,609704,6478
147,609705,4093
148,609707,6381
149,609708,3246
150,609709,4263
151,609710,3383
152,609711,6629
153,609712,6539
154,609713,3087
155,609715,2668
156,609716,3858
157,609718,1030
158,609719,4098
159,609720,2091
160,609722,7906
161,609723,9038
162,609724,2525
163,609725,1869
164,609726,4102
165,609727,4528
166,609728,3610
167,609729,3126
168,609730,2913
169,609732,2637
170,609733,3505
171,609734,999
172,609735,2588
173,609737,3040
174,609738,4700
175,609739,520
176,609740,5352
177,609741,3287
178,609744,1373
179,609745,5253
180,609746,2958
181,609748,3433
182,609749,2426
183,609750,3601
184,609751,4163
185,609753,402
186,609754,4081
187,609755,4928
188,609756,2214
189,609759,5686
190,609760,781
191,609761,1954
192,609762,2168
193,609764,2614
194,609766,2102
195,609768,4562
196,609769,2763
197,609772,873
198,609773,5973
199,609774,4932
200,609777,2113
201,609779,3604
202,609780,5305
203,609782,2336
204,609783,4295
205,609786,6049
206,609788,1932
207,609789,3690
208,609790,5068
209,609791,7381
210,609792,3150
211,609793,6176
212,609794,3254
213,609795,2090
214,609796,1582
215,609797,7274
216,609798,2982
217,609799,2055
218,609800,3791
219,609803,4894
220,609804,2385
221,609805,4399
222,609806,5519
223,609807,1915
224,609808,4543
225,609809,3764
226,609810,1217
227,609811,699
228,609812,5418
229,609813,6822
230,609815,7668
231,609817,2697
232,609818,2552
233,609819,5283
234,609820,4053
235,609821,1689
236,609826,5761
237,609827,3193
238,609828,5321
239,609829,1910
240,609830,6670
241,609832,596
242,609833,3195
243,609834,5132
244,609835,7563
245,609836,484
246,609837,3396
247,609839,1296
248,609842,3765
249,609844,5158
250,609845,1168
251,609848,1231
252,609849,442
253,609850,5437
254,609851,6358
255,609852,2457
256,609853,5185
257,609854,4753
258,609855,3825
259,609856,469
260,609857,2806
261,609859,2612
262,609861,1060
263,609862,5099
264,609863,5984
265,609864,6307
266,609865,3236
267,609866,2259
268,609867,2939
269,609869,6859
270,609870,3525
271,609871,796
272,609872,2744
273,609873,8176
274,609874,470
275,609875,4651
276,609876,2285
277,609879,1807
278,609880,1286
279,609883,6132
280,609884,1063
281,609885,4343
282,609887,5931
283,609891,3416
284,609893,825
285,609894,3357
286,609895,3517
287,609896,5352
288,609897,6243
289,609898,3763
290,609899,436
291,609900,4216
292,609901,243
293,609902,2566
294,609903,1907
295,609904,7607
296,609907,10987
297,609908,1763
298,609909,1578
299,609910,3449
300,609912,1203
301,609917,3301
302,609918,3961
303,609919,5439
304,609920,6578
305,609921,4368
306,609922,4204
307,609924,3915
308,609925,8672
309,609926,7425
310,609927,3942
311,609928,4904
312,609929,5673
313,609930,5081
314,609933,2663
315,609935,1088
316,609937,796
317,609938,2777
318,609939,3433
319,609941,5249
320,609942,4423
321,609943,2365
322,609944,386
323,609945,4064
324,609947,1992
325,609949,2787
326,609950,3383
327,609951,3667
328,609952,1523
329,609954,11447
330,609955,5373
331,609956,596
332,609958,2832
333,609959,3080
334,609960,909
335,609961,4961
336,609963,3690
337,609964,3980
338,609966,5552
339,609967,3141
340,609968,5524
341,609969,2276
342,609971,6588
343,609972,3598
344,609973,2240
345,609974,5775
346,609975,7502
347,609976,3314
348,609977,5113
349,609978,2372
350,609979,2814
351,609981,1131
352,609983,4158
353,609985,9689
354,609986,5728
355,609987,3158
356,609988,3832
357,609990,6633
358,609991,9778
359,609993,3628
360,609994,3271
361,609995,999
362,609996,1884
363,609997,5219
364,610000,8427
365,610002,3623
366,610003,6455
367,610004,4151
368,610005,6701
369,610006,1793
370,610009,4825
371,610010,2871
372,610011,2601
373,610012,8631
374,610013,2890
375,610015,3293
376,610016,1253
377,610017,4682
378,610019,5431
379,610021,7510
380,610022,3406
381,610024,6990
382,610026,1042
383,610027,3467
384,610029,5435
385,610030,4088
386,610032,2970
387,610033,5101
388,610034,10444
389,610036,6096
390,610037,5926
391,610038,4224
392,610039,3112
393,610040,4496
394,610041,2052
395,610043,2064
396,610044,7130
397,610046,3153
398,610047,6472
399,610048,5775
400,610051,4323
401,610052,5592
402,610053,5292
403,610054,1755
404,610055,8839
405,610056,5958
406,610057,5211
407,610059,4354
408,610060,4639
409,610062,2541
410,610063,4247
411,610065,6216
412,610066,4330
413,610067,4801
414,610068,3722
415,610070,3168
416,610073,4893
417,610074,4307
418,610076,5615
419,610077,5105
420,610078,5225
421,610081,2751
422,610082,518
423,610083,885
424,610084,663
425,610086,2619
426,610087,486
427,610088,4801
428,610089,3580
429,610090,2893
430,610091,1604
431,610092,8434
432,610093,4759
433,610094,5177
434,610095,4734
435,610096,3763
436,610097,4593
437,610098,6460
438,610099,899
439,610100,6147
440,610101,10414
441,610102,6919
442,610103,5406
443,610104,647
444,610105,596
445,610106,6701
446,610107,5242
447,610108,6909
448,610109,1610
449,610110,4349
450,610111,1512
451,610112,6008
452,610115,6208
453,610116,5592
454,610117,2314
455,610120,3174
456,610121,5033
457,610122,3033
458,610123,8693
459,610124,2917
460,610125,2610
461,610126,3515
462,610127,2166
463,610128,2505
464,610129,3262
465,610130,5546
466,610131,5829
467,610132,2937
468,610133,7714
469,610135,2367
470,610136,3535
471,610137,1735
472,610138,5597
473,610139,3043
474,610141,3844
475,610142,2915
476,610143,4799
477,610144,3690
478,610145,2654
479,610146,6298
480,610147,1425
481,610148,3967
482,610152,6784
483,610153,4345
484,610155,365
485,610157,3175
486,610158,930
487,610159,3214
488,610163,169
489,610165,3751
490,610167,3436
491,610170,2615
492,610171,3042
493,610172,4727
494,610173,4829
495,610174,2885
496,610175,3346
497,610176,2244
498,610177,5216
499,610178,1893
500,610179,1355
501,610180,3890
502,610182,723
503,610183,10464
504,610184,5006
505,610185,1608
506,610188,3857
507,610191,2725
508,610192,5796
509,610193,3062
510,610194,10314
511,610195,863
512,610196,2633
513,610197,5630
514,610198,866
515,610199,1716
516,610200,2577
517,610201,2000
518,610202,9103
519,610203,3965
520,610206,992
521,610207,2120
522,610208,4845
523,610209,2855
524,610212,3237
525,610213,6248
526,610215,3764
527,610216,2881
528,610217,3127
529,610218,2325
530,610219,530
531,610220,2771
532,610221,10822
533,610223,7216
534,610225,2452
535,610226,3304
536,610227,3167
537,610228,2397
538,610229,6219
539,610230,200
540,610231,3270
541,610234,5230
542,610235,4934
543,610237,4207
544,610238,7178
545,610239,4871
546,610242,4361
547,610244,7167
548,610245,6979
549,610246,4371
550,610248,2373
551,610249,3702
552,610250,9849
553,610251,6797
554,610252,4979
555,610254,9483
556,610256,2822
557,610257,6526
558,610263,6277
559,610268,5625
560,610269,3921
561,610271,8245
562,610274,8437
563,610276,5251
564,610279,6399
565,610281,4954
566,610282,6611
567,610284,4276
568,610287,1626
569,610290,6066
570,610291,1978
571,610293,10052
572,610295,2927
573,610298,5501
574,610299,7109
575,610300,6139
576,610304,5498
577,610305,7685
578,610308,5502
579,610312,3372
580,610313,6235
581,610315,1959
582,610316,2374
583,610317,2287
584,610319,1680
585,610321,3460
586,610323,3710
587,610325,3799
588,610329,3169
589,610334,9269
590,610339,7442
591,610340,2421
592,610342,6341
593,610345,4705
594,610347,6244
595,610350,2581
596,610352,1119
597,610353,1370
598,610354,3448
599,610355,4473
600,610357,4853
601,610362,3512
602,610363,4277
603,610364,1250
604,610366,2933
605,610367,6263
606,610368,4179
607,610369,4819
608,610380,4761
609,610381,4701
610,610383,1089
611,610384,1305
612,610385,1245
613,610386,4852
614,610389,7452
615,610390,2850
616,610391,6322
617,610392,1161
618,610394,3891
619,610396,2749
620,610402,2432
621,610405,5161
622,610499,8323
623,610503,10272
624,610504,1707
625,610506,6116
626,610513,3845
627,610515,3157
628,610518,9319
629,610520,5842
630,610521,6436
631,610523,575
632,610524,2799
633,610529,5323
634,610530,5805
635,610532,3109
636,610533,3935
637,610534,6096
638,610539,3318
639,610541,3393
640,610542,1752
641,610543,2992
642,610544,980
643,610547,7565
644,610548,3488
645,610555,7360
646,610557,864
647,610558,1937
648,610559,3522
649,610561,5103
650,610563,3920
651,610564,3429
652,610565,7471
653,610566,9294
654,610567,3480
655,610568,3251
656,610569,135
657,610570,5472
658,610571,5819
659,610572,4717
660,610573,4911
661,610580,5614
662,610581,3324
663,610582,7105
664,610584,10247
665,610585,10014
666,610586,886
667,610587,4887
668,610588,2761
